rebalance_date,ticker,weight,fund
2022-09-01,WFC,4.496515889493843e-17,equity_max_sharpe
2022-10-03,WFC,0.0,equity_max_sharpe
2022-11-01,WFC,0.0,equity_max_sharpe
2022-12-01,WFC,0.0,equity_max_sharpe
2023-01-03,WFC,1.1816290589993277e-16,equity_max_sharpe
2023-02-01,WFC,2.6510724111661408e-17,equity_max_sharpe
2023-03-01,WFC,3.250999855640054e-17,equity_max_sharpe
2023-04-03,WFC,1.13472615081874e-16,equity_max_sharpe
2023-05-01,WFC,0.0,equity_max_sharpe
2023-06-01,WFC,1.582665172543434e-17,equity_max_sharpe
2023-07-03,WFC,0.0,equity_max_sharpe
2023-08-01,WFC,7.637128250728904e-17,equity_max_sharpe
2023-09-01,WFC,9.75666632633178e-17,equity_max_sharpe
2023-10-02,WFC,0.0,equity_max_sharpe
2023-11-01,WFC,8.38181556612013e-17,equity_max_sharpe
2023-12-01,WFC,4.085193296840271e-17,equity_max_sharpe
2021-01-04,WMT,0.0,equity_max_sharpe
2021-02-01,WMT,0.0,equity_max_sharpe
2021-03-01,WMT,0.0,equity_max_sharpe
2021-04-01,WMT,2.7302321288421778e-17,equity_max_sharpe
2021-05-03,WMT,0.0,equity_max_sharpe
2021-06-01,WMT,0.0,equity_max_sharpe
2021-07-01,WMT,0.0,equity_max_sharpe
2021-08-02,WMT,5.379806515747181e-18,equity_max_sharpe
2021-09-01,WMT,1.7214731183826285e-17,equity_max_sharpe
2021-10-01,WMT,2.859061208812364e-17,equity_max_sharpe
2021-11-01,WMT,0.0,equity_max_sharpe
2021-12-01,WMT,0.0,equity_max_sharpe
2022-01-03,WMT,0.0,equity_max_sharpe
2022-02-01,WMT,5.192528142460191e-17,equity_max_sharpe
2022-03-01,WMT,0.0,equity_max_sharpe
2022-04-01,WMT,5.636219495940245e-17,equity_max_sharpe
2022-05-02,WMT,7.455201892437842e-17,equity_max_sharpe
2022-06-01,WMT,0.0,equity_max_sharpe
2022-07-01,WMT,1.3967843667305456e-16,equity_max_sharpe
2022-08-01,WMT,0.0,equity_max_sharpe
2022-09-01,WMT,0.0,equity_max_sharpe
2022-10-03,WMT,0.0,equity_max_sharpe
2022-11-01,WMT,0.0,equity_max_sharpe
2022-12-01,WMT,0.0,equity_max_sharpe
2023-01-03,WMT,0.0,equity_max_sharpe
2023-02-01,WMT,0.0,equity_max_sharpe
2023-03-01,WMT,1.6195216878503478e-17,equity_max_sharpe
2023-04-03,WMT,0.0,equity_max_sharpe
2023-05-01,WMT,9.181017194714065e-17,equity_max_sharpe
2023-06-01,WMT,2.8590849847813267e-16,equity_max_sharpe
2023-07-03,WMT,0.0819766183517266,equity_max_sharpe
2023-08-01,WMT,0.003782054824348628,equity_max_sharpe
2023-09-01,WMT,0.04229087912744668,equity_max_sharpe
2023-10-02,WMT,0.0,equity_max_sharpe
2023-11-01,WMT,0.13459661231886969,equity_max_sharpe
2023-12-01,WMT,1.3107294400653677e-17,equity_max_sharpe
2021-01-04,XOM,6.27574280118912e-17,equity_max_sharpe
2021-02-01,XOM,7.819935596606031e-17,equity_max_sharpe
2021-03-01,XOM,2.9570804140744804e-18,equity_max_sharpe
2021-04-01,XOM,4.961503138577933e-17,equity_max_sharpe
2021-05-03,XOM,0.0,equity_max_sharpe
2021-06-01,XOM,0.0,equity_max_sharpe
2021-07-01,XOM,5.723272559070204e-17,equity_max_sharpe
2021-08-02,XOM,0.0,equity_max_sharpe
2021-09-01,XOM,0.0,equity_max_sharpe
2021-10-01,XOM,0.0,equity_max_sharpe
2021-11-01,XOM,0.0,equity_max_sharpe
2021-12-01,XOM,0.03075325351856224,equity_max_sharpe
2022-01-03,XOM,5.4920535775309067e-17,equity_max_sharpe
2022-02-01,XOM,0.0,equity_max_sharpe
2022-03-01,XOM,1.6539504683416604e-16,equity_max_sharpe
2022-04-01,XOM,0.0,equity_max_sharpe
2022-05-02,XOM,2.4425833039805256e-16,equity_max_sharpe
2022-06-01,XOM,4.3160381284365986e-16,equity_max_sharpe
2022-07-01,XOM,1.1247495719479706e-16,equity_max_sharpe
2022-08-01,XOM,0.0,equity_max_sharpe
2022-09-01,XOM,0.06844356307938336,equity_max_sharpe
2022-10-03,XOM,0.03988915721790462,equity_max_sharpe
2022-11-01,XOM,0.20858860595444523,equity_max_sharpe
2022-12-01,XOM,0.17173327563596863,equity_max_sharpe
2023-01-03,XOM,0.2439183518942298,equity_max_sharpe
2023-02-01,XOM,0.15257520921226578,equity_max_sharpe
2023-03-01,XOM,0.14924046499803156,equity_max_sharpe
2023-04-03,XOM,0.16098761325730337,equity_max_sharpe
2023-05-01,XOM,0.06648965945107448,equity_max_sharpe
2023-06-01,XOM,1.9338266988671401e-16,equity_max_sharpe
2023-07-03,XOM,0.0,equity_max_sharpe
2023-08-01,XOM,0.0,equity_max_sharpe
2023-09-01,XOM,0.0,equity_max_sharpe
2023-10-02,XOM,0.0,equity_max_sharpe
2023-11-01,XOM,4.7484628877893127e-17,equity_max_sharpe
2023-12-01,XOM,2.973630120554266e-17,equity_max_sharpe
2021-01-04,ABBV,0.02,equity_risk_parity
2021-02-01,ABBV,0.02,equity_risk_parity
2021-03-01,ABBV,0.02,equity_risk_parity
2021-04-01,ABBV,0.02,equity_risk_parity
2021-05-03,ABBV,0.02,equity_risk_parity
2021-06-01,ABBV,0.02,equity_risk_parity
2021-07-01,ABBV,0.02,equity_risk_parity
2021-08-02,ABBV,0.02,equity_risk_parity
2021-09-01,ABBV,0.02,equity_risk_parity
